labels,docs
clickbait,Should I Get Bings
clickbait,Which TV Female Friend Group Do You Belong In
clickbait,A Couple Did A Stunning Photo Shoot With Their Baby After Learning She Had An Inoperable Brain Tumor
clickbait,How To Flirt With Queer Girls Without Making A Total Fool Of Yourself
clickbait,32 Cute Things To Distract From Your Awkward Thanksgiving
clickbait,If Disney Princesses Were From Florida
clickbait,What's A Quote Or Lyric That Best Describes Your Depression
clickbait,16 Perfect Responses To The Indian Patriarchy
clickbait,17 Times Kourtney Kardashian Shut Down Her Own Family
clickbait,Does Coffee Make You Poop
non_clickbait,Bill Changing Credit Card Rules Is Sent to Obama With Gun Measure Included
non_clickbait,1700 runners still unaccounted for in UK's Lake District following flood
non_clickbait,Yankees Pitchers Trade Fielding Drills for Putting Practice
non_clickbait,Large earthquake rattles Indonesia; Seventh in two days
non_clickbait,Coldplay's new album hits stores worldwide this week
non_clickbait,U.N. Leader Presses Sri Lanka on Speeding Relief to War Refugees in Camps
non_clickbait,2 Somali-Americans Charged With Aiding Terror
non_clickbait,White House Announces International Meetings to Address Energy and Climate Issues
non_clickbait,Door opens mid-Qantas flight; plane makes an emergency landing
non_clickbait,Gas prices surge in Northeast US
